salary,age,years,beauty
0.540855278,21.21304244,6.643236646,78.86243173
0.16456366,16.34445811,3.796494955,69.70922069
6.558604596,18.40960119,5.081547678,76.48039814
29.61230736,17.75333345,4.077801047,85.31970957
18.67286649,20.1707753,6.358750364,66.50441328
3.419027128,18.52445054,5.136793292,66.46958835
3.797471146,17.82809424,4.224055598,78.67549147
1.499704784,14.42699986,1.696263159,73.89188918
41.04911638,20.37681335,5.97930739,72.85344232
0.775008506,15.49243094,2.160180593,87.70636753
14.51880972,18.71815824,4.927548762,79.20490652
30.91410231,18.51927232,4.667739438,67.26348583
27.49344037,18.84634989,5.126590225,79.1154491
2.343787858,15.8714931,4.045114812,71.96165182
1.709935726,14.6069445,1.789312288,70.39189301
0.747234323,15.15040785,3.485319145,71.04003816
56.83151496,24.41145824,8.753040645,80.65103134
18.06454906,17.44969638,4.640051809,69.09284073
0.111916324,14.91756125,1.873152309,82.63137719
34.95623087,21.80960621,5.891981688,78.17258766
0.322263432,15.83544285,2.674693946,74.16376717
1.279997871,14.19641108,2.914635277,71.19168211
2.854669722,18.25138169,4.276978989,85.24126039
2.902140032,17.54673423,4.250300765,75.71687915
0.219324402,13.75011647,2.487652792,72.26602188
0.471275532,16.21302492,3.055569789,78.03807376
0.342924753,22.84161319,7.645180359,70.28267625
0.810290131,16.50416415,3.976745437,64.44491048
1.700289045,15.55564637,2.695138695,77.42864586
11.36496434,19.82012346,5.456798854,78.04347277
2.843866466,18.16755546,4.212892674,80.93551738
0.129035945,15.10217341,2.548837063,69.40076283
36.60228867,17.10333424,3.487417025,79.69407642
11.68009804,19.39828538,5.292650773,76.67018112
6.838791595,13.17186147,1.850692978,62.32155184
6.201637152,18.33535982,4.433563005,76.14232067
0.201396839,18.69650925,5.507630339,84.16251105
15.41184549,18.8772197,5.844700369,78.30391
3.699026205,17.835735,4.39227433,77.50994516
3.778518052,23.06793902,7.330130634,69.24791513
15.32098766,19.99373806,5.767218657,78.69275979
64.79129465,18.46839185,4.284322335,78.91762592
18.98591467,18.87962539,4.81251232,76.11634495
0.19477764,15.12282974,2.726209243,76.0290223
4.636142239,17.48012851,3.666096138,80.94036225
0.001227366,16.72726576,4.629076039,67.81909658
0.740913288,15.23148611,2.273978161,68.22307541
5.901546514,18.50361782,4.658165605,76.58008423
1.887512205,16.89153788,3.509471989,83.87001467
3.115362538,14.9847584,2.251686513,80.50188946
32.44276546,16.12009382,2.811723613,76.83557355
0.02298857,17.35333323,3.941715148,67.1302309
61.31879611,22.25275433,7.397137744,78.92916756
26.56742284,17.65071307,4.406085052,69.21526548
0.002985039,17.71716868,4.806157845,84.21618733
1.382870273,19.17258973,5.580451993,69.8063926
0.0330187,12.66217618,0.921304862,78.66491913
14.34406591,13.97466325,1.427013538,65.13149725
3.447182604,18.91909992,4.637542787,73.01477518
17.05852436,17.58861667,3.280452476,79.56326818
89.98002695,22.28898857,7.41982476,75.93017745
1.609029616,18.43827032,4.877941689,76.8022588
0.209717474,21.10098218,7.500401505,75.44405977
13.61471791,17.90038427,5.157668018,79.08983345
12.60070583,19.72663943,5.383174495,76.56761826
19.68268741,17.75302609,4.81343262,80.83436441
14.60630736,18.62614688,4.246149533,81.00009913
6.927047327,17.38349183,4.415107363,77.0576899
8.601644655,18.55352992,4.877959859,78.0813764
0.369279111,18.30329027,4.346476773,76.70438234
2.033008324,20.77334598,5.957225841,77.04786301
3.53494166,16.04653092,4.598695049,83.59069589
25.62882334,17.87016066,4.865405988,79.06292176
2.533001013,20.77152243,5.642405471,83.29601997
12.18998158,19.59313932,5.583877924,80.84236622
9.753228279,18.06379856,4.86111456,76.96539027
9.623077644,18.77307989,5.570511065,73.1328944
6.040310583,16.66607629,4.039146123,70.40607203
0.000201136,14.33254633,2.360566598,86.81368509
0.938413581,21.38409778,7.204933339,69.37950214
74.86075356,24.40682118,8.444766544,86.09212015
2.147814981,16.60794018,3.936442882,78.36972993
5.703960424,23.35849095,8.850731013,75.45727785
8.24270536,21.0750007,6.749217232,86.73388883
3.327270622,17.10945039,3.732037738,82.85447528
0.08593815,20.57831697,6.110144376,70.31463855
0.00172623,14.98373436,3.606834463,66.82636593
23.71025537,16.11659583,2.763933627,83.3135452
0.888048228,16.9038588,3.899753831,77.76886464
24.74596029,18.85150261,5.326192141,79.86669208
0.087640094,16.03110855,4.200821699,73.70804919
31.45104882,22.77909067,7.276644829,65.1682823
16.52200015,14.3309541,2.00576405,73.86493092
7.652400504,13.9369579,2.436086758,70.69103696
0.811814991,17.68050747,4.055673598,71.29599338
54.56551875,22.31422136,6.833367152,88.01470398
33.52353379,20.72526381,6.802545133,74.89299332
5.755567701,15.2320348,2.757355451,74.66279674
4.725181844,17.77429821,4.350482114,79.39558385
17.41507206,21.85924135,6.705639875,76.92374938
1.215535101,18.21792576,4.844884812,80.21448076
18.90198033,16.95126852,3.908673943,72.97061585
0.169687039,17.68738149,4.795165627,72.95977732
1.078210009,13.49755103,1.984281347,77.41865767
7.943316747,17.60065525,4.121403952,85.69700746
0.021623778,17.04439274,4.198264785,59.91217529
1.105745546,19.10819861,5.44849424,75.12853575
0.591241474,16.27437662,3.684310765,73.12920753
0.128022614,22.43750536,6.961555747,80.7299358
8.063804791,17.86013828,4.455632406,76.13970381
3.26428778,17.54843297,4.278971292,76.78715194
23.59828788,20.7176694,5.680836975,76.37823515
2.810382895,18.23541109,4.757449251,79.96413293
4.160569119,18.97861837,5.214499243,73.39255974
5.792838654,18.6042175,4.962632806,73.49739092
29.978719,24.02153807,8.226904305,89.97007911
50.65578186,15.27405964,2.981696784,66.38544313
2.063458343,17.94529967,5.045664174,67.50854909
0.001464615,15.54879341,1.946346367,82.92712025
2.743112627,21.72690338,6.466822692,92.52992392
17.61481358,18.71203536,4.395875183,87.18585515
16.10823444,18.86435369,5.054842348,69.58605135
7.433608854,18.78038125,4.578977869,79.70985591
71.32072555,20.65061453,5.834559034,77.57683824
18.60040003,15.78993951,3.014518185,70.61232487
0.307463163,19.48364984,5.995922557,84.61809342
12.16101284,18.10050489,4.236407151,76.55840568
11.77116368,19.37484506,5.303815094,72.32530659
22.80425779,15.30119324,2.684802119,75.66293215
13.53928243,14.88318385,2.546306899,60.41909313
3.198209275,18.22032871,5.442078704,75.09305152
2.525251737,17.3884988,4.183334778,78.15523246
5.96884438,19.18361707,4.933011879,68.20927363
4.779746363,18.29093964,4.823465744,76.80199208
0.367680713,15.67898799,3.749285795,79.65221402
18.12108669,18.61330905,4.886009103,80.20595651
7.223431918,18.06911626,4.720384727,82.69692711
32.97789409,22.54835028,8.047361004,76.58925693
1.029440996,18.72933585,4.344473573,85.93520726
25.77141347,13.22895616,1.735402689,71.12583361
14.25156623,17.54785743,4.03175746,73.20214551
0.274331199,16.46088326,3.918540014,70.06162675
0.001015202,13.8971553,2.779772046,67.28552231
7.32789096,20.08474984,6.379833449,77.25928439
33.84669272,19.47072107,5.047481983,76.43606958
0.048603274,19.03369874,5.917427295,77.6031064
5.59515363,17.73841727,4.308942464,76.60310789
0.095783537,18.87019537,5.976556837,62.30070125
1.339454749,15.96867555,2.982992973,70.59462155
4.974499477,23.68361005,7.652921296,75.72559256
5.213939136,18.21792349,5.308478698,64.92145399
13.49124038,17.28493751,4.275984161,75.84810226
8.21814431,16.81493965,3.313512192,63.05562985
0.495502042,15.59418327,3.062267444,72.35866998
0.04349503,20.69407063,5.496182493,80.92086386
16.27651491,18.52001797,4.596831425,79.69073528
2.152101159,15.9177556,2.221360008,73.57108268
